,Start Date,Label,Original Port Type,Charging Time (hh:mm:ss),Energy (kWh),Total Duration (hh:mm:ss),Port Number,CenterLon,CenterLat,Level 1,Level 2
3934,2015-02-25,2,"['Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2']",0.0,131.95207800000003,0.0,29,-122.162,37.447,5,12
3935,2015-02-25,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,119.21689600000002,0.0,22,-122.11321931407944,37.422,0,22
3936,2015-02-25,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,61.106159,0.0,20,-122.13899999999995,37.445,0,10
3937,2015-02-26,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,158.035559,0.0,20,-122.16,37.444,0,10
3938,2015-02-26,1,"['Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,49.508466,0.0,8,-122.163,37.444,0,4
3939,2015-02-26,2,"['Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2']",0.0,82.50270700000002,0.0,25,-122.162,37.447,3,11
3940,2015-02-26,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,127.88732699999998,0.0,16,-122.11321931407944,37.422,0,16
3941,2015-02-26,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,70.90142300000001,0.0,20,-122.13899999999995,37.445,0,10
3942,2015-02-27,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,51.84752900000001,0.0,20,-122.16,37.444,0,10
3943,2015-02-27,1,"['Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2']",0.0,52.877864,0.0,9,-122.163,37.444,1,4
3944,2015-02-27,2,"['Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,132.406922,0.0,35,-122.162,37.447,3,16
3945,2015-02-27,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,132.848076,0.0,16,-122.11321931407944,37.422,0,16
3946,2015-02-27,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,51.213111,0.0,14,-122.13899999999995,37.445,0,7
3947,2015-02-28,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2']",0.0,57.745735,0.0,27,-122.16,37.444,1,13
3948,2015-02-28,1,"['Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,28.373627,0.0,8,-122.163,37.444,0,4
3949,2015-02-28,2,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2']",0.0,71.410226,0.0,19,-122.162,37.447,1,9
3950,2015-02-28,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,91.334833,0.0,12,-122.11321931407944,37.422,0,12
