,Label,ar,ma,AIC,r^2,RMSE,MAPE,MAE,SMAPE
130,1.0,3.0,0.0,3739.4847161489806,-0.3902584153346986,0.5520376828487996,0.15571959005367614,0.43635649445702795,7.577287266219158
131,1.0,3.0,1.0,3635.7474054471727,-0.24456309748782012,0.522311295253866,0.14533412452547528,0.40107756406050393,6.962839043804144
132,1.0,3.0,2.0,3616.087891839361,-0.2452850519367924,0.5224627661975587,0.14562654422934265,0.4021423211746256,6.982430153907431
133,1.0,3.0,3.0,3609.493218757298,-0.34007295646443647,0.5419823946362571,0.15146927183286008,0.420799303876526,7.310266332974917
134,1.0,3.0,4.0,3610.779704822126,-0.25142142902258535,0.5237484512161443,0.14685869863545498,0.40440970571407237,7.0179692595785665
135,1.0,3.0,5.0,3615.138847682419,-0.2220462154742655,0.5175648491600154,0.1451147932922986,0.3982305478735128,6.910712430850608
136,1.0,3.0,6.0,3615.3587604007416,-0.19291708620944603,0.5113592160755277,0.14251524221010645,0.3922023241132985,6.809036610707814
137,1.0,3.0,7.0,3617.1610060013604,-0.19609220035556252,0.512039290558436,0.1432858588388203,0.39384941444354177,6.837924424018933
138,1.0,3.0,8.0,3619.358060585264,-0.20210733487895016,0.5133251958659444,0.14352856781871032,0.3947514860232358,6.851124212047704
139,1.0,3.0,9.0,3617.274723735839,-0.18882008949402174,0.5104803457140143,0.14290832925259273,0.39299518253059507,6.8208677508613995
140,1.0,4.0,0.0,3732.907509136615,-0.41585811828280694,0.5570970075520123,0.1578412494402567,0.4389495565655167,7.639828795717088
141,1.0,4.0,1.0,3657.388791247745,-0.3155052791863786,0.5369913074676518,0.15131581730988133,0.421189007282248,7.309417662324262
142,1.0,4.0,2.0,3605.3822104498267,-0.6585419287581018,0.602954006886632,0.17022542812743457,0.47236696260657235,8.185485205194524
143,1.0,4.0,3.0,3615.1141995370817,-0.29348549803303947,0.5324780869513867,0.15000444278702516,0.41541118848568276,7.214303043792088
144,1.0,4.0,4.0,3614.1608601975004,-0.25603224027365523,0.524712429009357,0.1474274955728732,0.4061759034666398,7.048606314534774
145,1.0,4.0,5.0,3615.9591743243627,-0.21208607921524458,0.5154513598295232,0.14405248434451848,0.3961655351876812,6.873281140547705
146,1.0,4.0,6.0,3616.513782200953,-0.2018920914335105,0.513279237062196,0.14333765035072094,0.3945610471068567,6.845906553092974
147,1.0,4.0,7.0,3618.884381568707,-0.1936164139467471,0.5115090820186984,0.14266385065278156,0.39270351530305175,6.816060933616753
148,1.0,4.0,8.0,3619.4454385019108,-0.24607728804943618,0.5226289321927917,0.1455400701800297,0.4014777814421023,6.965271617952179
149,1.0,4.0,9.0,3608.048623863349,-0.19339149445572312,0.5114608865593608,0.14305260524981595,0.3933684581024949,6.826799283647182
150,1.0,5.0,0.0,3707.508908232077,-0.2669621004156868,0.5269904800246844,0.1469828047408564,0.40500058989937476,7.0282484006911154
151,1.0,5.0,1.0,3611.8124640636825,-1.045004149771823,0.6695269372843631,0.18742263415875135,0.5236310955441607,9.045924642179322
152,1.0,5.0,2.0,3616.7231310107227,-1.2643162629790132,0.7045137941798201,0.1960003581618619,0.5420254173192915,9.437887995754505
153,1.0,5.0,3.0,3618.8625251238873,-0.285593948811143,0.5308512786575935,0.1476644601571352,0.40836690710431817,7.0750438149974
154,1.0,5.0,4.0,3624.4664056022007,-0.171193601715937,0.5066817986518883,0.1411755770244629,0.38871775750871246,6.7540096597344
155,1.0,5.0,5.0,3617.6618517508855,-0.20754556031400573,0.5144850041313814,0.14396903464257899,0.3954979137881472,6.863750997112542
156,1.0,5.0,6.0,3617.173454708518,-0.20492873708125603,0.5139272419506824,0.14369363853242229,0.39526893536270663,6.858063640085721
157,1.0,5.0,7.0,3619.584623097563,-0.21442761087303674,0.5159489991308062,0.14470553168594102,0.39772487478001095,6.9000224564071555
158,1.0,5.0,8.0,3618.142004124538,-0.2385713804280205,0.5210524931700388,0.14555300805171276,0.4009229491432023,6.9525886209359316
159,1.0,5.0,9.0,3607.3711812096026,-0.2048243755648682,0.5139049852868536,0.14385243092847075,0.39552619587068366,6.863412551500236
160,1.0,6.0,0.0,3708.749434771958,-0.2903588559011152,0.5318341385922257,0.14875498174336357,0.4100440298453228,7.11218618221661
161,1.0,6.0,1.0,3704.2633338354995,-0.6363287159313917,0.5989026488938353,0.16879138144890696,0.4666658856477566,8.07988030317255
162,1.0,6.0,2.0,3602.2471449541063,-1.0150991555063582,0.6646135150488546,0.1846426886803221,0.5089629702074775,8.840541987421117
163,1.0,6.0,3.0,3608.6279641319534,-0.39133868276927,0.5522521151173813,0.15174440881258067,0.41918750718546866,7.270133512795671
164,1.0,6.0,4.0,3621.255410900048,-0.17343754318079085,0.5071669533807422,0.14165562684276684,0.3897670200610308,6.770945225588755
165,1.0,6.0,5.0,3608.208190181108,-0.20034272922192087,0.5129482955757012,0.14355387097209682,0.3945258233378942,6.8458536692217145
166,1.0,6.0,6.0,3610.9514446132057,-0.22867306431266332,0.5189662637598972,0.1456883802101204,0.400600185987879,6.947697179381111
167,1.0,6.0,7.0,3610.3224810351776,-0.2130790006870027,0.5156624413522635,0.144489577241174,0.3971986660079142,6.891584334402306
168,1.0,6.0,8.0,3610.9741359441405,-0.20028260781580776,0.5129354494284252,0.14332414202223231,0.39436526562623686,6.842547758272969
169,1.0,6.0,9.0,3609.4440713755125,-0.20638390107829108,0.5142374772131882,0.14389170415124836,0.3956835440998681,6.8659483049166194
170,1.0,7.0,0.0,3693.1474291206896,-0.7252323678429757,0.6149570104113055,0.17079852858056505,0.4704138881424854,8.15802045883732
171,1.0,7.0,1.0,3693.0405153621987,-0.7797876621406692,0.6246044210396813,0.17362730528392567,0.47832945116586034,8.294503826322561
172,1.0,7.0,2.0,3640.3397745169123,-1.1372826894429413,0.684466097973712,0.18844240914887392,0.5189984594094054,9.041928676631528
173,1.0,7.0,3.0,3606.5860190595486,-0.39040333650200165,0.5520664544281549,0.15180469891204965,0.41949366446887787,7.276011529576226
174,1.0,7.0,4.0,3613.184241294581,-0.19264024064721164,0.5112998759311793,0.14206599066075015,0.3917637890375229,6.805491436260778
175,1.0,7.0,5.0,3622.8381997613405,-0.18718823608291246,0.5101298657864981,0.14270938038467398,0.39227069911135004,6.809809444111502
176,1.0,7.0,6.0,3614.4470214596013,-0.19958475758636807,0.5127863161482074,0.1432939891249538,0.39388882307542816,6.835323551925248
177,1.0,7.0,7.0,3610.7853131757374,-0.21842113678021913,0.5167966266691811,0.14500137794977264,0.39837553577934987,6.9114338655175525
178,1.0,7.0,8.0,3611.489553145054,-0.2121432483864787,0.5154635155584338,0.14467310161417443,0.3974491342394605,6.89594979415782
179,1.0,7.0,9.0,3607.4299804651573,-0.20460951623141654,0.5138591602653725,0.14391894515546536,0.3956467948419704,6.8652561669839525
180,1.0,8.0,0.0,3704.9425935336612,-0.29370446691537144,0.5325231555654685,0.14747345580830545,0.4066652492305355,7.059240354679398
181,1.0,8.0,1.0,3678.620941777389,-0.5584535810151918,0.5844776296661195,0.16124473056364647,0.4450332567734811,7.732271646442781
182,1.0,8.0,2.0,3610.1867272507584,-0.6026080327739292,0.5926995747021062,0.16459113104776754,0.4563135565173854,7.919410718951521
183,1.0,8.0,3.0,3606.2383712567726,-0.3819663925304684,0.5503889408124711,0.15200640978316954,0.4213937423205259,7.306420309762373
184,1.0,8.0,4.0,3612.501504495559,-0.17847799862833869,0.5082550441571829,0.1420365567678065,0.39136922044353906,6.799945177688212
185,1.0,8.0,5.0,3624.2905437862246,-0.18763138732160423,0.5102250670287024,0.1426682166200519,0.3921859361050894,6.8080932114931745
186,1.0,8.0,6.0,3616.6284737399683,-0.19671561816607186,0.512172713729972,0.14305156635189964,0.3932584765922285,6.824425921086004
187,1.0,8.0,7.0,3611.2728269467725,-0.21178119277373852,0.5153865277943284,0.14458455468664885,0.3973615085203218,6.893810131590855
188,1.0,8.0,8.0,3612.887141387181,-0.20911807882745181,0.514819887551496,0.14448954523904758,0.3969587461569644,6.887489259478508
